player_class,enemy_class,player_level,enemy_level,player_hp_start,enemy_hp_start,player_attack,enemy_attack,player_def,enemy_def,player_vel,enemy_vel,wins,total_fights
0,0,1,1,32,26,13,11,23,7,8,5,1000,1000
0,1,1,1,32,43,13,5,23,16,8,6,790,1000
0,2,1,1,32,24,13,6,23,7,8,5,1000,1000
0,3,1,1,32,38,13,10,23,8,8,11,1000,1000
0,4,1,1,32,42,13,12,23,7,8,10,805,1000
0,5,1,2,32,52,13,4,23,17,8,4,0,1000
0,6,1,2,32,38,13,9,23,12,8,8,1000,1000
0,7,1,1,32,24,13,14,23,5,8,7,762,1000
1,0,1,1,24,39,16,11,15,7,12,5,891,1000
1,1,1,1,24,43,16,5,15,16,12,6,788,1000
1,2,1,1,24,24,16,6,15,7,12,5,1000,1000
1,3,1,1,24,57,16,10,15,8,12,11,556,1000
1,4,1,1,24,28,16,12,15,7,12,10,780,1000
1,5,1,2,24,78,16,4,15,17,12,4,0,1000
1,6,1,2,24,38,16,9,15,12,12,8,939,1000
1,7,1,1,24,24,16,14,15,5,12,7,831,1000
2,0,1,1,17,26,20,11,11,7,9,5,828,1000
2,1,1,1,17,43,20,5,11,16,9,6,963,1000
2,2,1,1,17,24,20,6,11,7,9,5,1000,1000
2,3,1,1,17,38,20,10,11,8,9,11,411,1000
2,4,1,1,17,28,20,12,11,7,9,10,770,1000
2,5,1,2,17,52,20,4,11,17,9,4,789,1000
2,6,1,2,17,38,20,9,11,12,9,8,890,1000
2,7,1,1,17,24,20,14,11,5,9,7,820,1000
3,0,1,1,20,39,17,11,13,7,11,5,867,1000
3,1,1,1,20,43,17,5,13,16,11,6,952,1000
3,2,1,1,20,24,17,6,13,7,11,5,1000,1000
3,3,1,1,20,38,17,10,13,8,11,11,590,1000
3,4,1,1,20,28,17,12,13,7,11,10,782,1000
3,5,1,2,20,52,17,4,13,17,11,4,47,1000
3,6,1,2,20,38,17,9,13,12,11,8,926,1000
3,7,1,1,20,36,17,14,13,5,11,7,851,1000
0,0,2,1,32,26,14,11,24,7,9,5,984,1000
0,1,2,1,32,43,14,5,24,16,9,6,807,1000
0,2,2,1,32,24,14,6,24,7,9,5,1000,1000
0,3,2,1,32,38,14,10,24,8,9,11,1000,1000
0,4,2,1,32,28,14,12,24,7,9,10,791,1000
0,5,2,2,32,78,14,4,24,17,9,4,0,1000
0,6,2,2,32,38,14,9,24,12,9,8,1000,1000
0,7,2,1,32,24,14,14,24,5,9,7,795,1000
1,0,2,1,24,26,17,11,16,7,13,5,958,1000
1,1,2,1,24,43,17,5,16,16,13,6,801,1000
1,2,2,1,24,24,17,6,16,7,13,5,1000,1000
1,3,2,1,24,38,17,10,16,8,13,11,808,1000
1,4,2,1,24,28,17,12,16,7,13,10,818,1000
1,5,2,2,24,52,17,4,16,17,13,4,0,1000
1,6,2,2,24,38,17,9,16,12,13,8,995,1000
1,7,2,1,24,24,17,14,16,5,13,7,967,1000
2,0,2,1,17,26,21,11,12,7,10,5,851,1000
2,1,2,1,17,65,21,5,12,16,10,6,1000,1000
2,2,2,1,17,24,21,6,12,7,10,5,1000,1000
2,3,2,1,17,38,21,10,12,8,10,11,763,1000
2,4,2,1,17,28,21,12,12,7,10,10,771,1000
2,5,2,2,17,52,21,4,12,17,10,4,817,1000
2,6,2,2,17,38,21,9,12,12,10,8,927,1000
2,7,2,1,17,36,21,14,12,5,10,7,840,1000
3,0,2,1,20,39,18,11,14,7,12,5,908,1000
3,1,2,1,20,43,18,5,14,16,12,6,1000,1000
3,2,2,1,20,24,18,6,14,7,12,5,1000,1000
3,3,2,1,20,38,18,10,14,8,12,11,771,1000
3,4,2,1,20,28,18,12,14,7,12,10,816,1000
3,5,2,2,20,52,18,4,14,17,12,4,813,1000
3,6,2,2,20,38,18,9,14,12,12,8,976,1000
3,7,2,1,20,36,18,14,14,5,12,7,899,1000
0,0,3,1,32,26,15,11,25,7,10,5,1000,1000
0,1,3,1,32,43,15,5,25,16,10,6,807,1000
0,2,3,1,32,24,15,6,25,7,10,5,1000,1000
0,3,3,1,32,38,15,10,25,8,10,11,1000,1000
0,4,3,1,32,28,15,12,25,7,10,10,780,1000
0,5,3,2,32,52,15,4,25,17,10,4,0,1000
0,6,3,2,32,57,15,9,25,12,10,8,1000,1000
0,7,3,1,32,24,15,14,25,5,10,7,814,1000
1,0,3,1,24,26,18,11,17,7,14,5,982,1000
1,1,3,1,24,43,18,5,17,16,14,6,1000,1000
1,2,3,1,24,24,18,6,17,7,14,5,1000,1000
1,3,3,1,24,57,18,10,17,8,14,11,795,1000
1,4,3,1,24,28,18,12,17,7,14,10,840,1000
1,5,3,2,24,52,18,4,17,17,14,4,0,1000
1,6,3,2,24,38,18,9,17,12,14,8,995,1000
1,7,3,1,24,24,18,14,17,5,14,7,1000,1000
2,0,3,1,17,26,22,11,13,7,11,5,956,1000
2,1,3,1,17,43,22,5,13,16,11,6,990,1000
2,2,3,1,17,24,22,6,13,7,11,5,1000,1000
2,3,3,1,17,38,22,10,13,8,11,11,779,1000
2,4,3,1,17,28,22,12,13,7,11,10,846,1000
2,5,3,2,17,52,22,4,13,17,11,4,804,1000
2,6,3,2,17,57,22,9,13,12,11,8,882,1000
2,7,3,1,17,24,22,14,13,5,11,7,884,1000
3,0,3,1,20,39,19,11,15,7,13,5,890,1000
3,1,3,1,20,65,19,5,15,16,13,6,1000,1000
3,2,3,1,20,36,19,6,15,7,13,5,1000,1000
3,3,3,1,20,57,19,10,15,8,13,11,809,1000
3,4,3,1,20,42,19,12,15,7,13,10,890,1000
3,5,3,2,20,52,19,4,15,17,13,4,803,1000
3,6,3,2,20,38,19,9,15,12,13,8,936,1000
3,7,3,1,20,36,19,14,15,5,13,7,963,1000
0,0,4,1,32,39,17,11,27,7,12,5,1000,1000
0,1,4,1,32,43,17,5,27,16,12,6,809,1000
0,2,4,1,32,24,17,6,27,7,12,5,1000,1000
0,3,4,1,32,38,17,10,27,8,12,11,1000,1000
0,4,4,1,32,42,17,12,27,7,12,10,774,1000
0,5,4,2,32,52,17,4,27,17,12,4,3,1000
0,6,4,2,32,38,17,9,27,12,12,8,1000,1000
0,7,4,1,32,36,17,14,27,5,12,7,997,1000
1,0,4,1,24,26,20,11,19,7,16,5,986,1000
1,1,4,1,24,43,20,5,19,16,16,6,1000,1000
1,2,4,1,24,36,20,6,19,7,16,5,1000,1000
1,3,4,1,24,38,20,10,19,8,16,11,814,1000
1,4,4,1,24,28,20,12,19,7,16,10,970,1000
1,5,4,2,24,52,20,4,19,17,16,4,792,1000
1,6,4,2,24,38,20,9,19,12,16,8,1000,1000
1,7,4,1,24,24,20,14,19,5,16,7,1000,1000
2,0,4,1,17,26,24,11,15,7,13,5,1000,1000
2,1,4,1,17,43,24,5,15,16,13,6,1000,1000
2,2,4,1,17,24,24,6,15,7,13,5,1000,1000
2,3,4,1,17,57,24,10,15,8,13,11,795,1000
2,4,4,1,17,42,24,12,15,7,13,10,977,1000
2,5,4,2,17,52,24,4,15,17,13,4,1000,1000
2,6,4,2,17,38,24,9,15,12,13,8,880,1000
2,7,4,1,17,36,24,14,15,5,13,7,1000,1000
3,0,4,1,20,26,21,11,17,7,15,5,1000,1000
3,1,4,1,20,65,21,5,17,16,15,6,1000,1000
3,2,4,1,20,36,21,6,17,7,15,5,1000,1000
3,3,4,1,20,38,21,10,17,8,15,11,823,1000
3,4,4,1,20,28,21,12,17,7,15,10,986,1000
3,5,4,2,20,52,21,4,17,17,15,4,760,1000
3,6,4,2,20,38,21,9,17,12,15,8,992,1000
3,7,4,1,20,24,21,14,17,5,15,7,1000,1000
0,0,5,1,32,26,18,11,28,7,13,5,1000,1000
0,1,5,1,32,43,18,5,28,16,13,6,794,1000
0,2,5,1,32,24,18,6,28,7,13,5,1000,1000
0,3,5,1,32,38,18,10,28,8,13,11,797,1000
0,4,5,1,32,42,18,12,28,7,13,10,804,1000
0,5,5,2,32,52,18,4,28,17,13,4,23,1000
0,6,5,2,32,38,18,9,28,12,13,8,1000,1000
0,7,5,1,32,24,18,14,28,5,13,7,1000,1000
1,0,5,1,24,26,21,11,20,7,17,5,1000,1000
1,1,5,1,24,43,21,5,20,16,17,6,1000,1000
1,2,5,1,24,24,21,6,20,7,17,5,1000,1000
1,3,5,1,24,38,21,10,20,8,17,11,833,1000
1,4,5,1,24,28,21,12,20,7,17,10,995,1000
1,5,5,2,24,52,21,4,20,17,17,4,788,1000
1,6,5,2,24,57,21,9,20,12,17,8,1000,1000
1,7,5,1,24,24,21,14,20,5,17,7,1000,1000
2,0,5,1,17,26,25,11,16,7,14,5,1000,1000
2,1,5,1,17,43,25,5,16,16,14,6,1000,1000
2,2,5,1,17,24,25,6,16,7,14,5,1000,1000
2,3,5,1,17,38,25,10,16,8,14,11,829,1000
2,4,5,1,17,28,25,12,16,7,14,10,999,1000
2,5,5,2,17,52,25,4,16,17,14,4,1000,1000
2,6,5,2,17,38,25,9,16,12,14,8,916,1000
2,7,5,1,17,24,25,14,16,5,14,7,1000,1000
3,0,5,1,20,26,22,11,18,7,16,5,1000,1000
3,1,5,1,20,43,22,5,18,16,16,6,1000,1000
3,2,5,1,20,36,22,6,18,7,16,5,1000,1000
3,3,5,1,20,57,22,10,18,8,16,11,846,1000
3,4,5,1,20,28,22,12,18,7,16,10,1000,1000
3,5,5,2,20,52,22,4,18,17,16,4,789,1000
3,6,5,2,20,38,22,9,18,12,16,8,974,1000
3,7,5,1,20,24,22,14,18,5,16,7,1000,1000
