0.1.3
char sprites[30][18][18] ={

	//Frame 1, file alt-chest-animation/image1.png
	{
		"bbbbbbbbbbbbbbbbb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnjjjjjjjnnnnb",
		"bnnnjjeeeeejjnnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjjjeeejjjjnnb",
		"bnnjeejjjjjeejnnb",
		"bnnjeeeefeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnnjjjjjjjjjnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bbbbbbbbbbbbbbbbb",
	},

	//Frame 2, file alt-chest-animation/image2.png
	{
		"bbbbbbbbbbbbbbbbb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnjjjjjjjnnnnb",
		"bnnnjjeeeeejjnnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjjjeeejjjjnnb",
		"bnnjeejjjjjeejnnb",
		"bnnjeeeefeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnnjjjjjjjjjnnnb",
		"bnhnnnnnnnnnnnnnb",
		"bhhnnnnnnnnnnnnnb",
		"bbbbbbbbbbbbbbbbb",
	},

	//Frame 3, file alt-chest-animation/image3.png
	{
		"bbbbbbbbbbbbbbbbb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnjjjjjjjnnnnb",
		"bnnnjjeeeeejjnnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjjjeeejjjjnnb",
		"bnnjeejjjjjeejnnb",
		"bnnjeeeefeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnhjjjjjjjjjnnnb",
		"bnhhnnnnnnnnnnnnb",
		"bhhnnnnnnnnnnnnnb",
		"bbbbbbbbbbbbbbbbb",
	},

	//Frame 4, file alt-chest-animation/image4.png
	{
		"bbbbbbbbbbbbbbbbb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnjjjjjjjnnnnb",
		"bnnnjjeeeeejjnnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjjjeeejjjjnnb",
		"bnnjeejjjjjeejnnb",
		"bnnjeeeefeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjheeeeeeejjnnb",
		"bnnhhjjjjjjjjnnnb",
		"bnhhnnnnnnnnnnnnb",
		"bhhnhnnnnnnnnnnnb",
		"bbbbbbbbbbbbbbbbb",
	},

	//Frame 5, file alt-chest-animation/image5.png
	{
		"bbbbbbbbbbbbbbbbb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnnnnnnnnnnnnb",
		"bnnnnjjjjjjjnnnnb",
		"bnnnjjeeeeejjnnnb",
		"bnnjjeeeeeeejjnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjjjjeeejjjjnnb",
		"bnnjeejjjjjeejnnb",
		"bnnjeeeefeeeejnnb",
		"bnnjeeeeeeeeejnnb",
		"bnnjeheeeeeeejnnb",
		"bnnjheeeeeeejjnnb",
		"bhnhhjjjjjjjjnnnb",
		"bhhhnhnnnnnnnnnnb",
		"bhhnnnnnnnnnnnnnb",
		"bbbbbbbbbbbbbbbbb",
	},

	//Frame 6, file alt-chest-animation/image6.png
	{
		"bbbbbbbbbbbbbbbbb",
